country_iso2,name,code,city,region,latitude,longitude,port_type,status,traffic_level,annual_capacity,teu_capacity,trade_volume,importance_score,weather_risk,political_risk,logistic_risk,risk_score,risk_level,main_industries,shipping_routes,ai_recommendation,description
AQ,"Port Lockroy",POR30,"Port Lockroy",Antarctica,-64.82,-63.5,Seaport,Active,Low,48933472,1355785,2628180,0.84,11,42,96,49.67,Medium,"Electronics, Machinery",18,"Optimize supply chain through Port Lockroy to reduce delays.","The port of Port Lockroy is located in Port Lockroy, Antarctica. It plays a significant role in the region's trade."
AQ,"Scotia Bay",SCO32,"Scotia Bay",Antarctica,-60.75,-44.72,Seaport,Active,Low,13523633,7729800,5260581,0.92,74,72,77,74.33,Medium,Electronics,3,"Optimize supply chain through Scotia Bay to reduce delays.","The port of Scotia Bay is located in Scotia Bay, Antarctica. It plays a significant role in the region's trade."
AQ,"Admiralty Bay",ADM85,"Admiralty Bay",Antarctica,-62.08,-58.42,Seaport,Active,Low,41305003,3802923,10310749,0.58,54,93,58,68.33,Medium,Textiles,16,"Optimize supply chain through Admiralty Bay to reduce delays.","The port of Admiralty Bay is located in Admiralty Bay, Antarctica. It plays a significant role in the region's trade."
AQ,"Melchior Harbor",MEL88,"Melchior Harbor",Antarctica,-64.32,-63,"Offshore Terminal",Active,Medium,23701169,9499681,4575898,0.9,95,71,21,62.33,Medium,Textiles,16,"Optimize supply chain through Melchior Harbor to reduce delays.","The port of Melchior Harbor is located in Melchior Harbor, Antarctica. It plays a significant role in the region's trade."
AQ,"Mcmurdo Station",MCM90,"Mcmurdo Station",Antarctica,-77.85,166.65,Seaport,Active,High,35388923,5061075,17123085,0.86,26,39,48,37.67,Low,"Machinery, Textiles, Agriculture",4,"Optimize supply chain through Mcmurdo Station to reduce delays.","The port of Mcmurdo Station is located in Mcmurdo Station, Antarctica. It plays a significant role in the region's trade."
AQ,"Ellefsen Harbor",ELL60,"Ellefsen Harbor",Antarctica,-60.73,-45.03,"Offshore Terminal",Active,Low,47566234,8050278,19457922,0.61,77,9,62,49.33,Medium,"Machinery, Automotive",20,"Optimize supply chain through Ellefsen Harbor to reduce delays.","The port of Ellefsen Harbor is located in Ellefsen Harbor, Antarctica. It plays a significant role in the region's trade."
AG,"St Johns",STJ73,"St John's","Saint John",17.12,-61.85,"Dry Port",Active,Low,25834522,9547941,12511471,0.92,9,65,86,53.33,Medium,"Machinery, Agriculture, Chemicals",8,"Optimize supply chain through St Johns to reduce delays.","The port of St Johns is located in St John's, Saint John. It plays a significant role in the region's trade."
AR,"Villa Constitucion",VIL37,"Puerto Acevedo",Misiones,-33.3,-60.33,"Offshore Terminal",Active,High,7131437,211720,4413874,0.99,65,56,41,54,Medium,Energy,9,"Optimize supply chain through Villa Constitucion to reduce delays.","The port of Villa Constitucion is located in Puerto Acevedo, Misiones. It plays a significant role in the region's trade."
AR,"Puerto Santa Cruz",PUE99,"Puerto Santa Cruz",Argentina,-50.02,-68.52,"Dry Port",Active,High,14693400,7070007,8147726,0.79,8,89,33,43.33,Medium,"Automotive, Chemicals",20,"Optimize supply chain through Puerto Santa Cruz to reduce delays.","The port of Puerto Santa Cruz is located in Puerto Santa Cruz, Argentina. It plays a significant role in the region's trade."
AR,"Buenos Aires",BUE84,"Buenos Aires","Buenos Aires",-34.6,-58.37,"Dry Port",Active,High,13811394,4996711,4420583,0.95,7,50,16,24.33,Low,"Agriculture, Machinery, Automotive",17,"Optimize supply chain through Buenos Aires to reduce delays.","The port of Buenos Aires is located in Buenos Aires, Buenos Aires. It plays a significant role in the region's trade."
AR,"Mar Del Plata",MAR58,"Mar del Plata","Buenos Aires",-38.03,-57.53,Seaport,Active,Low,30284372,4567617,11965282,0.86,83,26,33,47.33,Medium,Textiles,6,"Optimize supply chain through Mar Del Plata to reduce delays.","The port of Mar Del Plata is located in Mar del Plata, Buenos Aires. It plays a significant role in the region's trade."
AR,"Villa Constitucion",VIL84,"Villa Constitución","Santa Fe",-33.23,-60.33,Seaport,Active,Low,19899042,2046098,6927423,0.91,47,81,86,71.33,Medium,"Automotive, Energy",20,"Optimize supply chain through Villa Constitucion to reduce delays.","The port of Villa Constitucion is located in Villa Constitución, Santa Fe. It plays a significant role in the region's trade."
AR,Rosario,ROS30,Rosario,"Santa Fe",-32.95,-60.63,"Dry Port",Active,Low,10934757,922386,2562425,0.85,63,38,99,66.67,Medium,Machinery,14,"Optimize supply chain through Rosario to reduce delays.","The port of Rosario is located in Rosario, Santa Fe. It plays a significant role in the region's trade."
AR,"San Nicolas",SAN39,"San Nicolás","Buenos Aires",-33.33,-60.23,"Dry Port",Active,High,5667868,7013879,3171434,1,5,12,19,12,Low,Chemicals,9,"Optimize supply chain through San Nicolas to reduce delays.","The port of San Nicolas is located in San Nicolás, Buenos Aires. It plays a significant role in the region's trade."
AR,"San Sebastian Bay",SAN77,"San Sebastian Bay",Argentina,-53.17,-68.5,"Offshore Terminal",Active,High,12246232,4072453,8833494,0.85,75,74,42,63.67,Medium,Automotive,11,"Optimize supply chain through San Sebastian Bay to reduce delays.","The port of San Sebastian Bay is located in San Sebastian Bay, Argentina. It plays a significant role in the region's trade."
AW,"Sint Nicolaas Baai",SIN32,"San Nicolas",Aruba,12.43,-69.92,"Offshore Terminal",Active,High,39942142,9329560,4530728,0.69,11,2,3,5.33,Low,Automotive,19,"Optimize supply chain through Sint Nicolaas Baai to reduce delays.","The port of Sint Nicolaas Baai is located in San Nicolas, Aruba. It plays a significant role in the region's trade."
AW,"Paarden Baai - (oranjestad)",PAA40,Oranjestad,Aruba,12.52,-70.03,"Offshore Terminal",Active,Medium,45816573,4025424,8493708,0.71,5,64,29,32.67,Low,"Automotive, Agriculture",10,"Optimize supply chain through Paarden Baai - (oranjestad) to reduce delays.","The port of Paarden Baai - (oranjestad) is located in Oranjestad, Aruba. It plays a significant role in the region's trade."
AU,Bundaberg,BUN53,Bundaberg,Queensland,-24.87,152.35,"River Port",Active,Medium,49600557,5759554,10778000,0.87,99,69,70,79.33,High,Energy,3,"Optimize supply chain through Bundaberg to reduce delays.","The port of Bundaberg is located in Bundaberg, Queensland. It plays a significant role in the region's trade."
AU,Devonport,DEV33,Devonport,Tasmania,-41.18,146.37,"River Port",Active,High,27324112,9334687,7765961,0.95,3,61,61,41.67,Medium,"Energy, Machinery",7,"Optimize supply chain through Devonport to reduce delays.","The port of Devonport is located in Devonport, Tasmania. It plays a significant role in the region's trade."
AU,Burnie,BUR71,Burnie,Tasmania,-41.05,145.95,Seaport,Active,Low,48404904,1660753,11670797,0.65,58,81,16,51.67,Medium,"Chemicals, Machinery, Textiles",16,"Optimize supply chain through Burnie to reduce delays.","The port of Burnie is located in Burnie, Tasmania. It plays a significant role in the region's trade."
AU,Broome,BRO42,Broome,"Western Australia",-17.97,122.23,"Offshore Terminal",Active,High,11457402,5248684,19996634,1,3,97,65,55,Medium,Chemicals,11,"Optimize supply chain through Broome to reduce delays.","The port of Broome is located in Broome, Western Australia. It plays a significant role in the region's trade."
AU,Dover,DOV98,Dover,Australia,-43.32,147.03,"Offshore Terminal",Active,Medium,43804641,7331197,12277724,0.62,14,22,22,19.33,Low,Machinery,19,"Optimize supply chain through Dover to reduce delays.","The port of Dover is located in Dover, Australia. It plays a significant role in the region's trade."
AU,"Port Huon",POR32,"Port Huon",Australia,-43.17,146.98,"Offshore Terminal",Active,High,11577553,2512064,19605111,0.64,69,43,66,59.33,Medium,Textiles,5,"Optimize supply chain through Port Huon to reduce delays.","The port of Port Huon is located in Port Huon, Australia. It plays a significant role in the region's trade."
AU,"Port Adelaide",POR91,Adelaide,"South Australia",-34.85,138.5,"Offshore Terminal",Active,Low,28825631,4503167,1689739,0.87,76,97,42,71.67,Medium,"Textiles, Energy",4,"Optimize supply chain through Port Adelaide to reduce delays.","The port of Port Adelaide is located in Adelaide, South Australia. It plays a significant role in the region's trade."
AU,"Port Giles",POR36,"Port Giles","South Australia",-35.03,137.77,"Dry Port",Active,Low,45600981,6636963,8056328,0.92,20,88,49,52.33,Medium,"Electronics, Textiles",13,"Optimize supply chain through Port Giles to reduce delays.","The port of Port Giles is located in Port Giles, South Australia. It plays a significant role in the region's trade."
AU,Melbourne,MEL30,Melbourne,Victoria,-37.83,144.97,"Offshore Terminal",Active,Low,37107101,1714227,15593120,0.74,69,48,6,41,Medium,"Energy, Machinery",16,"Optimize supply chain through Melbourne to reduce delays.","The port of Melbourne is located in Melbourne, Victoria. It plays a significant role in the region's trade."
BS,Freeport,FRE71,Freeport,Bahamas,26.52,-78.78,"River Port",Active,Medium,20525621,6652136,8406235,0.7,60,60,96,72,Medium,"Electronics, Energy",2,"Optimize supply chain through Freeport to reduce delays.","The port of Freeport is located in Freeport, Bahamas. It plays a significant role in the region's trade."
BS,"Clifton Pier",CLI46,"Clifton Pier",Bahamas,25,-77.55,"River Port",Active,Medium,44957815,8684645,12284124,0.61,95,27,63,61.67,Medium,Textiles,6,"Optimize supply chain through Clifton Pier to reduce delays.","The port of Clifton Pier is located in Clifton Pier, Bahamas. It plays a significant role in the region's trade."
BS,"Matthew Town",MAT87,"Matthew Town",Bahamas,20.95,-73.68,"Offshore Terminal",Active,Low,13252711,3203115,15560107,0.74,42,92,55,63,Medium,Electronics,16,"Optimize supply chain through Matthew Town to reduce delays.","The port of Matthew Town is located in Matthew Town, Bahamas. It plays a significant role in the region's trade."
BS,"South Riding Point",SOU83,"South Riding Point","Grand Bahama",26.62,-78.22,Seaport,Active,Low,3669170,9600940,12024550,0.53,41,78,31,50,Medium,"Automotive, Agriculture",13,"Optimize supply chain through South Riding Point to reduce delays.","The port of South Riding Point is located in South Riding Point, Grand Bahama. It plays a significant role in the region's trade."
BS,Nassau,NAS63,Nassau,Bahamas,25.08,-77.35,"River Port",Active,Low,4041596,5928443,14894009,0.98,13,31,8,17.33,Low,Machinery,7,"Optimize supply chain through Nassau to reduce delays.","The port of Nassau is located in Nassau, Bahamas. It plays a significant role in the region's trade."
BH,"Khalifa Bin Salman",KHA48,Hidd,Bahrain,26.25,50.75,"Offshore Terminal",Active,Low,33476901,1238865,12301645,0.5,76,95,58,76.33,High,Electronics,12,"Optimize supply chain through Khalifa Bin Salman to reduce delays.","The port of Khalifa Bin Salman is located in Hidd, Bahrain. It plays a significant role in the region's trade."
BH,"Al Manamah",ALM77,"Mina Sulman","Capital Governorate",26.23,50.58,Seaport,Active,Low,23978460,8986370,4183061,0.98,91,18,47,52,Medium,Chemicals,8,"Optimize supply chain through Al Manamah to reduce delays.","The port of Al Manamah is located in Mina Sulman, Capital Governorate. It plays a significant role in the region's trade."
BH,Sitrah,SIT33,Alba,Bahrain,26.17,50.67,"Dry Port",Active,Medium,15638132,9957908,14213711,0.93,69,60,80,69.67,Medium,"Machinery, Automotive",6,"Optimize supply chain through Sitrah to reduce delays.","The port of Sitrah is located in Alba, Bahrain. It plays a significant role in the region's trade."
BH,"Mina Salman",MIN78,Manama,Bahrain,26.2,50.63,"Dry Port",Active,High,17940763,8169957,15685204,0.85,56,55,30,47,Medium,"Machinery, Agriculture",14,"Optimize supply chain through Mina Salman to reduce delays.","The port of Mina Salman is located in Manama, Bahrain. It plays a significant role in the region's trade."
BD,Chittagong,CHI42,Chattogram,Chattogram,22.32,91.82,"River Port",Active,Medium,14565922,8647862,10794985,1,94,66,46,68.67,Medium,Textiles,11,"Optimize supply chain through Chittagong to reduce delays.","The port of Chittagong is located in Chattogram, Chattogram. It plays a significant role in the region's trade."
BD,Mongla,MON20,Mongla,Bangladesh,22.47,89.6,"River Port",Active,Low,2923386,3125934,19157014,0.87,84,38,21,47.67,Medium,"Automotive, Machinery",10,"Optimize supply chain through Mongla to reduce delays.","The port of Mongla is located in Mongla, Bangladesh. It plays a significant role in the region's trade."
BB,Bridgetown,BRI31,Bridgetown,"Saint Michael",13.1,-59.63,"Offshore Terminal",Active,Medium,18222935,8981001,2393844,0.5,61,64,93,72.67,Medium,"Chemicals, Agriculture",10,"Optimize supply chain through Bridgetown to reduce delays.","The port of Bridgetown is located in Bridgetown, Saint Michael. It plays a significant role in the region's trade."
BE,Bruxelles,BRU29,Bruxelles,Belgium,50.87,4.35,"River Port",Active,Medium,44911832,8692078,5457110,0.73,23,49,68,46.67,Medium,Textiles,8,"Optimize supply chain through Bruxelles to reduce delays.","The port of Bruxelles is located in Bruxelles, Belgium. It plays a significant role in the region's trade."
BE,Oostende,OOS38,Ostend,"West Flanders",51.23,2.92,Seaport,Active,Low,2950422,6689933,10967632,0.54,44,18,56,39.33,Low,Energy,15,"Optimize supply chain through Oostende to reduce delays.","The port of Oostende is located in Ostend, West Flanders. It plays a significant role in the region's trade."
BE,Bruges,BRU73,Bruges,"West Flanders",51.23,3.22,"Offshore Terminal",Active,Low,3786508,7191412,11033769,0.71,65,84,99,82.67,High,"Machinery, Electronics, Energy",20,"Optimize supply chain through Bruges to reduce delays.","The port of Bruges is located in Bruges, West Flanders. It plays a significant role in the region's trade."
BE,Ghent,GHE40,Ghent,"East Flanders",51.07,3.73,"River Port",Active,High,47476043,2778096,7642973,0.63,4,53,33,30,Low,Machinery,10,"Optimize supply chain through Ghent to reduce delays.","The port of Ghent is located in Ghent, East Flanders. It plays a significant role in the region's trade."
BE,Zeebrugge,ZEE51,Zeebrugge,"West Flanders",51.33,3.2,"Offshore Terminal",Active,Medium,33686127,3932977,12617173,0.79,10,54,33,32.33,Low,"Machinery, Textiles",19,"Optimize supply chain through Zeebrugge to reduce delays.","The port of Zeebrugge is located in Zeebrugge, West Flanders. It plays a significant role in the region's trade."
BE,Nieuwpoort,NIE81,Nieuwpoort,Belgium,51.13,2.75,"Dry Port",Active,Medium,22691650,6367905,12988187,0.55,52,85,42,59.67,Medium,"Chemicals, Electronics",12,"Optimize supply chain through Nieuwpoort to reduce delays.","The port of Nieuwpoort is located in Nieuwpoort, Belgium. It plays a significant role in the region's trade."
BE,Antwerpen,ANT96,Antwerp,Flanders,51.22,4.4,"Dry Port",Active,Low,1092950,8263352,4575115,0.57,31,19,93,47.67,Medium,"Chemicals, Automotive",12,"Optimize supply chain through Antwerpen to reduce delays.","The port of Antwerpen is located in Antwerp, Flanders. It plays a significant role in the region's trade."
BZ,"Belize City",BEL30,"Belize City",Belize,17.5,-88.18,"Offshore Terminal",Active,Medium,48468690,2796937,3016805,0.62,39,21,78,46,Medium,"Electronics, Automotive",16,"Optimize supply chain through Belize City to reduce delays.","The port of Belize City is located in Belize City, Belize. It plays a significant role in the region's trade."
BJ,Cotonou,COT73,Cotonou,Littoral,6.35,2.43,Seaport,Active,Low,30334550,6793677,3542728,0.67,94,16,8,39.33,Low,Agriculture,7,"Optimize supply chain through Cotonou to reduce delays.","The port of Cotonou is located in Cotonou, Littoral. It plays a significant role in the region's trade."
BM,"Ireland Island",IRE28,"Ireland Island",Bermuda,32.32,-64.83,"Dry Port",Active,High,37075815,5941544,8996744,0.88,74,71,29,58,Medium,Machinery,3,"Optimize supply chain through Ireland Island to reduce delays.","The port of Ireland Island is located in Ireland Island, Bermuda. It plays a significant role in the region's trade."
BM,Hamilton,HAM52,Hamilton,Bermuda,32.3,-64.78,"River Port",Active,Low,37047185,4795880,2362040,0.52,43,8,82,44.33,Medium,"Energy, Electronics",15,"Optimize supply chain through Hamilton to reduce delays.","The port of Hamilton is located in Hamilton, Bermuda. It plays a significant role in the region's trade."
BM,"St George's",STG46,"St George's",Bermuda,32.38,-64.68,"River Port",Active,High,17615121,1044080,1958785,0.99,14,71,64,49.67,Medium,Agriculture,3,"Optimize supply chain through St George's to reduce delays.","The port of St George's is located in St George's, Bermuda. It plays a significant role in the region's trade."
BQ,Oranjestad,ORA71,Oranjestad,"Caribbean Netherlands",17.48,-62.98,"River Port",Active,Low,29249170,6998071,15573484,0.75,40,9,41,30,Low,"Agriculture, Electronics",5,"Optimize supply chain through Oranjestad to reduce delays.","The port of Oranjestad is located in Oranjestad, Caribbean Netherlands. It plays a significant role in the region's trade."
BQ,Kralendijk,KRA56,Kralendijk,Bonaire,12.15,-68.28,Seaport,Active,Low,49574579,1871550,18609416,0.87,49,68,68,61.67,Medium,"Automotive, Machinery",15,"Optimize supply chain through Kralendijk to reduce delays.","The port of Kralendijk is located in Kralendijk, Bonaire. It plays a significant role in the region's trade."
BQ,"Goto Oil Terminal",GOT62,"Goto Oil Terminal","Bonaire, Sint Eustatius and Saba",12.22,-68.38,"Dry Port",Active,High,41965139,4824369,10461265,0.89,98,18,28,48,Medium,Electronics,2,"Optimize supply chain through Goto Oil Terminal to reduce delays.","The port of Goto Oil Terminal is located in Goto Oil Terminal, Bonaire, Sint Eustatius and Saba. It plays a significant role in the region's trade."
BQ,Salina,SAL63,Bonaire,Bonaire,12.08,-68.28,Seaport,Active,High,11223417,2198397,2146176,0.83,34,18,90,47.33,Medium,"Machinery, Agriculture",20,"Optimize supply chain through Salina to reduce delays.","The port of Salina is located in Bonaire, Bonaire. It plays a significant role in the region's trade."
BA,Neum,NEU19,Neum,"Bosnia and Herzegovina",42.92,17.6,Seaport,Active,Medium,16793118,6652198,19093311,0.67,95,23,74,64,Medium,"Textiles, Electronics, Energy",11,"Optimize supply chain through Neum to reduce delays.","The port of Neum is located in Neum, Bosnia and Herzegovina. It plays a significant role in the region's trade."
BR,Macae,MAC48,Macae,Brazil,-22.37,-41.77,Seaport,Active,Low,12163515,3081444,4753271,0.69,35,86,93,71.33,Medium,Textiles,16,"Optimize supply chain through Macae to reduce delays.","The port of Macae is located in Macae, Brazil. It plays a significant role in the region's trade."
BR,"Angra Dos Reis",ANG20,"Angra dos Reis","Rio de Janeiro",-23.02,-44.32,"Dry Port",Active,High,10611562,8590640,14039397,0.81,74,8,67,49.67,Medium,"Textiles, Chemicals",11,"Optimize supply chain through Angra Dos Reis to reduce delays.","The port of Angra Dos Reis is located in Angra dos Reis, Rio de Janeiro. It plays a significant role in the region's trade."
BR,Aratu,ARA58,Aratu,Bahia,-12.78,-38.5,"Offshore Terminal",Active,High,48872336,9413902,11419480,0.67,58,37,88,61,Medium,Chemicals,10,"Optimize supply chain through Aratu to reduce delays.","The port of Aratu is located in Aratu, Bahia. It plays a significant role in the region's trade."
BR,Vitoria,VIT16,Vitória,"Espírito Santo",-20.32,-40.33,Seaport,Active,Low,35264800,5100387,7922237,0.61,20,19,65,34.67,Low,"Machinery, Electronics",4,"Optimize supply chain through Vitoria to reduce delays.","The port of Vitoria is located in Vitória, Espírito Santo. It plays a significant role in the region's trade."
BR,Cameta,CAM97,Cameta,Brazil,-2.25,-49.5,"Offshore Terminal",Active,Medium,26123090,4320607,13830709,0.9,89,59,90,79.33,High,"Agriculture, Machinery",17,"Optimize supply chain through Cameta to reduce delays.","The port of Cameta is located in Cameta, Brazil. It plays a significant role in the region's trade."
BR,Tramandai,TRA87,Tramandaí,"Rio Grande do Sul",-29.98,-50.13,"Dry Port",Active,Medium,44772649,3914416,16245515,0.61,75,73,64,70.67,Medium,"Machinery, Automotive",2,"Optimize supply chain through Tramandai to reduce delays.","The port of Tramandai is located in Tramandaí, Rio Grande do Sul. It plays a significant role in the region's trade."
BR,Portocel,POR51,Portocel,Brazil,-19.85,-40.05,"Offshore Terminal",Active,Medium,2052757,2840493,4980932,0.83,93,49,8,50,Medium,"Electronics, Textiles",4,"Optimize supply chain through Portocel to reduce delays.","The port of Portocel is located in Portocel, Brazil. It plays a significant role in the region's trade."
BR,"Madre De Deus",MAD44,"Madre de Deus",Bahia,-12.75,-38.62,"Dry Port",Active,Medium,17356812,4108953,6420909,0.74,59,92,87,79.33,High,Chemicals,16,"Optimize supply chain through Madre De Deus to reduce delays.","The port of Madre De Deus is located in Madre de Deus, Bahia. It plays a significant role in the region's trade."
BR,Santarem,SAN97,Santarém,Pará,-2.42,-54.72,"River Port",Active,Medium,39512757,6341590,17557674,0.9,83,75,37,65,Medium,Agriculture,5,"Optimize supply chain through Santarem to reduce delays.","The port of Santarem is located in Santarém, Pará. It plays a significant role in the region's trade."
